,name,total_time,f2l_time,ll_time,cross+1_time,ols_time,pll_time,total_time_percent,f2l_time_percent,ll_time_percent,cross+1_percent,ols_percent,pll_percent,total_stm,f2l_stm,ll_stm,cross+1_stm,ols_stm,pll_stm,total_stps,f2l_stps,ll_stps,cross+1_stps,ols_stps,pll_stps,total_etm,f2l_etm,ll_etm,cross+1_etm,ols_etm,pll_etm,total_etps,f2l_etps,ll_etps,cross+1_etps,ols_etps,pll_etps,cross_type,zbll,num_steps
238,Matty Hiroto Inaba,4.69,3.07,1.62,0.83,1.53,1.29,100.0,65.5,34.5,17.7,32.6,27.5,51.0,28.0,23.0,7.0,16.0,17.0,10.87,9.12,14.2,8.43,10.46,13.18,53.0,29.0,24.0,7.0,16.0,18.0,11.3,9.45,14.81,8.43,10.46,13.95,xcross,False,6.0
239,Kyle Santucci,3.54,1.95,1.59,0.52,1.1,1.06,100.0,55.1,44.9,14.7,31.1,29.9,46.0,23.0,23.0,5.0,15.0,15.0,12.99,11.79,14.47,9.62,13.64,14.15,47.0,24.0,23.0,5.0,15.0,15.0,13.28,12.31,14.47,9.62,13.64,14.15,xcross,False,6.0
240,Feliks Zemdegs,4.75,2.92,1.83,1.42,1.48,1.07,100.0,61.5,38.5,29.9,31.2,22.5,52.0,30.0,22.0,8.0,22.0,11.0,10.95,10.27,12.02,5.63,14.86,10.28,53.0,31.0,22.0,8.0,23.0,11.0,11.16,10.62,12.02,5.63,15.54,10.28,xcross,False,6.0
241,Feliks Zemdegs,6.79,4.02,2.77,1.82,1.08,2.24,100.0,59.2,40.8,26.8,15.9,33.0,59.0,34.0,25.0,12.0,14.0,18.0,8.69,8.46,9.03,6.59,12.96,8.04,60.0,35.0,25.0,12.0,15.0,18.0,8.84,8.71,9.03,6.59,13.89,8.04,cross,True,7.0
242,Feliks Zemdegs,4.75,2.73,2.02,1.58,1.45,1.07,100.0,57.5,42.5,33.3,30.5,22.5,56.0,31.0,25.0,15.0,21.0,12.0,11.79,11.36,12.38,9.49,14.48,11.21,58.0,33.0,25.0,16.0,21.0,12.0,12.21,12.09,12.38,10.13,14.48,11.21,xxcross,False,5.0
243,Feliks Zemdegs,5.18,4.38,0.8,1.93,1.43,0.8,100.0,84.6,15.4,37.3,27.6,15.4,54.0,39.0,15.0,14.0,12.0,15.0,10.42,8.9,18.75,7.25,8.39,18.75,56.0,41.0,15.0,14.0,14.0,15.0,10.81,9.36,18.75,7.25,9.79,18.75,cross,False,6.0
244,Feliks Zemdegs,5.2,3.77,1.43,1.22,0.83,1.43,100.0,72.5,27.5,23.5,16.0,27.5,48.0,32.0,16.0,9.0,7.0,16.0,9.23,8.49,11.19,7.38,8.43,11.19,50.0,34.0,16.0,10.0,8.0,16.0,9.62,9.02,11.19,8.2,9.64,11.19,xcross,False,5.0
245,Feliks Zemdegs,5.48,3.75,1.73,1.57,2.4,0.0,100.0,68.4,31.6,28.6,43.8,0.0,53.0,35.0,18.0,15.0,26.0,0.0,9.67,9.33,10.4,9.55,10.83,0.0,54.0,36.0,18.0,15.0,27.0,0.0,9.85,9.6,10.4,9.55,11.25,0.0,xcross,True,5.0
246,Feliks Zemdegs,5.9,3.88,2.02,1.37,2.08,0.92,100.0,65.8,34.2,23.2,35.3,15.6,64.0,40.0,24.0,14.0,23.0,13.0,10.85,10.31,11.88,10.22,11.06,14.13,67.0,43.0,24.0,14.0,23.0,13.0,11.36,11.08,11.88,10.22,11.06,14.13,cross,False,7.0
247,Feliks Zemdegs,4.98,3.05,1.93,1.23,1.38,1.1,100.0,61.2,38.8,24.7,27.7,22.1,57.0,29.0,28.0,10.0,21.0,15.0,11.45,9.51,14.51,8.13,15.22,13.64,57.0,29.0,28.0,10.0,21.0,15.0,11.45,9.51,14.51,8.13,15.22,13.64,cross,False,7.0
248,Feliks Zemdegs,5.58,2.82,2.76,1.28,1.72,1.66,100.0,50.5,49.5,22.9,30.8,29.7,59.0,32.0,27.0,13.0,19.0,17.0,10.57,11.35,9.78,10.16,11.05,10.24,61.0,34.0,27.0,13.0,20.0,17.0,10.93,12.06,9.78,10.16,11.63,10.24,cross,True,7.0
249,Feliks Zemdegs,5.05,3.6,1.45,1.58,1.8,0.22,100.0,71.3,28.7,31.3,35.6,4.4,47.0,37.0,10.0,14.0,18.0,1.0,9.31,10.28,6.9,8.86,10.0,4.55,48.0,38.0,10.0,14.0,18.0,1.0,9.5,10.56,6.9,8.86,10.0,4.55,cross,False,7.0
250,Feliks Zemdegs,6.36,5.02,1.34,1.33,1.89,0.0,100.0,78.9,21.1,20.9,29.7,0.0,51.0,37.0,14.0,12.0,22.0,0.0,8.02,7.37,10.45,9.02,11.64,0.0,55.0,41.0,14.0,13.0,22.0,0.0,8.65,8.17,10.45,9.77,11.64,0.0,cross,True,6.0
251,Feliks Zemdegs,4.94,2.92,2.02,1.3,1.08,1.51,100.0,59.1,40.9,26.3,21.9,30.6,51.0,31.0,20.0,13.0,13.0,15.0,10.32,10.62,9.9,10.0,12.04,9.93,52.0,32.0,20.0,13.0,13.0,15.0,10.53,10.96,9.9,10.0,12.04,9.93,xcross,True,6.0
252,Charlie Eggins,6.16,4.13,2.03,0.87,2.0,2.03,100.0,67.0,33.0,14.1,32.5,33.0,42.0,29.0,13.0,6.0,9.0,13.0,6.82,7.02,6.4,6.9,4.5,6.4,44.0,31.0,13.0,6.0,10.0,13.0,7.14,7.51,6.4,6.9,5.0,6.4,cross,False,6.0
253,Phạm Đức Phước,2.84,2.13,0.71,0.63,1.07,-0.0,100.0,75.0,25.0,22.2,37.7,0.0,27.0,19.0,8.0,4.0,12.0,0.0,9.51,8.92,11.27,6.35,11.21,0.0,29.0,21.0,8.0,4.0,12.0,0.0,10.21,9.86,11.27,6.35,11.21,0.0,xcross,False,5.0
254,Max Park,2.94,2.17,0.77,0.8,0.83,0.27,100.0,73.8,26.2,27.2,28.2,9.2,28.0,20.0,8.0,7.0,10.0,2.0,9.52,9.22,10.39,8.75,12.05,7.41,30.0,22.0,8.0,8.0,10.0,2.0,10.2,10.14,10.39,10.0,12.05,7.41,xcross,False,6.0
255,Muhammad Faeyza Koda,4.39,1.93,2.46,0.7,1.33,1.72,100.0,44.0,56.0,15.9,30.3,39.2,43.0,18.0,25.0,3.0,15.0,18.0,9.79,9.33,10.16,4.29,11.28,10.47,43.0,18.0,25.0,3.0,15.0,18.0,9.79,9.33,10.16,4.29,11.28,10.47,xcross,False,6.0
256,Twan Dullemond,4.13,1.87,2.26,1.03,1.2,1.43,100.0,45.3,54.7,24.9,29.1,34.6,44.0,17.0,27.0,8.0,14.0,19.0,10.65,9.09,11.95,7.77,11.67,13.29,44.0,17.0,27.0,8.0,14.0,19.0,10.65,9.09,11.95,7.77,11.67,13.29,xxcross,False,5.0
257,Twan Dullemond,4.06,2.27,1.79,0.83,2.36,0.0,100.0,55.9,44.1,20.4,58.1,0.0,42.0,25.0,17.0,7.0,24.0,0.0,10.34,11.01,9.5,8.43,10.17,0.0,43.0,26.0,17.0,7.0,25.0,0.0,10.59,11.45,9.5,8.43,10.59,0.0,xcross,False,5.0
258,Twan Dullemond,3.67,2.6,1.07,1.3,1.4,0.14,100.0,70.8,29.2,35.4,38.1,3.8,33.0,24.0,9.0,9.0,13.0,1.0,8.99,9.23,8.41,6.92,9.29,7.14,33.0,24.0,9.0,9.0,13.0,1.0,8.99,9.23,8.41,6.92,9.29,7.14,xcross,False,6.0
259,Ruihang Xu,4.25,3.3,0.95,1.97,1.48,0.0,100.0,77.6,22.4,46.4,34.8,0.0,39.0,28.0,11.0,12.0,19.0,0.0,9.18,8.48,11.58,6.09,12.84,0.0,39.0,28.0,11.0,12.0,19.0,0.0,9.18,8.48,11.58,6.09,12.84,0.0,xxcross,False,4.0
260,Phạm Đức Phước,5.0,3.63,1.37,1.03,1.8,0.27,100.0,72.6,27.4,20.6,36.0,5.4,46.0,35.0,11.0,12.0,17.0,1.0,9.2,9.64,8.03,11.65,9.44,3.7,49.0,38.0,11.0,13.0,17.0,1.0,9.8,10.47,8.03,12.62,9.44,3.7,cross,False,7.0
261,Phạm Đức Phước,5.75,2.77,2.98,1.17,1.7,1.82,100.0,48.2,51.8,20.3,29.6,31.7,47.0,21.0,26.0,7.0,18.0,15.0,8.17,7.58,8.72,5.98,10.59,8.24,50.0,24.0,26.0,7.0,19.0,15.0,8.7,8.66,8.72,5.98,11.18,8.24,cross,False,7.0
262,Phạm Đức Phước,4.8,2.2,2.6,0.5,1.77,1.67,100.0,45.8,54.2,10.4,36.9,34.8,51.0,23.0,28.0,4.0,18.0,18.0,10.63,10.45,10.77,8.0,10.17,10.78,53.0,25.0,28.0,4.0,19.0,18.0,11.04,11.36,10.77,8.0,10.73,10.78,xcross,False,6.0
263,Phạm Đức Phước,6.92,3.83,3.09,1.37,2.17,1.82,100.0,55.3,44.7,19.8,31.4,26.3,61.0,34.0,27.0,8.0,22.0,12.0,8.82,8.88,8.74,5.84,10.14,6.59,65.0,37.0,28.0,9.0,23.0,13.0,9.39,9.66,9.06,6.57,10.6,7.14,cross,False,7.0
264,Bill Wang,6.28,3.77,2.51,1.6,1.97,1.21,100.0,60.0,40.0,25.5,31.4,19.3,57.0,32.0,25.0,13.0,16.0,13.0,9.08,8.49,9.96,8.13,8.12,10.74,59.0,34.0,25.0,14.0,17.0,13.0,9.39,9.02,9.96,8.75,8.63,10.74,cross,False,7.0
265,Bill Wang,6.43,3.9,2.53,1.37,2.37,1.33,100.0,60.7,39.3,21.3,36.9,20.7,55.0,35.0,20.0,10.0,21.0,10.0,8.55,8.97,7.91,7.3,8.86,7.52,59.0,39.0,20.0,10.0,23.0,10.0,9.18,10.0,7.91,7.3,9.7,7.52,cross,False,7.0
266,Bill Wang,5.69,3.17,2.52,0.93,3.19,-0.0,100.0,55.7,44.3,16.3,56.1,0.0,53.0,32.0,21.0,8.0,29.0,0.0,9.31,10.09,8.33,8.6,9.09,0.0,54.0,33.0,21.0,8.0,30.0,0.0,9.49,10.41,8.33,8.6,9.4,0.0,xcross,False,5.0
267,Bill Wang,5.38,3.1,2.28,1.1,1.4,1.51,100.0,57.6,42.4,20.4,26.0,28.1,50.0,30.0,20.0,7.0,15.0,13.0,9.29,9.68,8.77,6.36,10.71,8.61,53.0,33.0,20.0,7.0,16.0,13.0,9.85,10.65,8.77,6.36,11.43,8.61,xcross,False,6.0
268,Bill Wang,4.92,2.4,2.52,0.77,2.17,1.15,100.0,48.8,51.2,15.7,44.1,23.4,56.0,26.0,30.0,7.0,22.0,16.0,11.38,10.83,11.9,9.09,10.14,13.91,56.0,26.0,30.0,7.0,22.0,16.0,11.38,10.83,11.9,9.09,10.14,13.91,xcross,False,6.0
269,Tymon Kolasiński,5.86,3.17,2.69,1.07,1.93,1.36,100.0,54.1,45.9,18.3,32.9,23.2,57.0,34.0,23.0,7.0,24.0,11.0,9.73,10.73,8.55,6.54,12.44,8.09,60.0,35.0,25.0,7.0,24.0,13.0,10.24,11.04,9.29,6.54,12.44,9.56,xcross,False,6.0
270,Tymon Kolasiński,5.71,3.13,2.58,1.27,0.8,1.78,100.0,54.8,45.2,22.2,14.0,31.2,57.0,30.0,27.0,9.0,9.0,18.0,9.98,9.58,10.47,7.09,11.25,10.11,57.0,30.0,27.0,9.0,9.0,18.0,9.98,9.58,10.47,7.09,11.25,10.11,xcross,False,5.0
271,Tymon Kolasiński,5.57,3.67,1.9,1.37,1.17,1.44,100.0,65.9,34.1,24.6,21.0,25.9,55.0,33.0,22.0,9.0,16.0,14.0,9.87,8.99,11.58,6.57,13.68,9.72,56.0,34.0,22.0,9.0,17.0,14.0,10.05,9.26,11.58,6.57,14.53,9.72,xcross,False,6.0
272,Tymon Kolasiński,5.67,3.63,2.04,1.37,1.73,1.14,100.0,64.0,36.0,24.2,30.5,20.1,46.0,28.0,18.0,9.0,17.0,9.0,8.11,7.71,8.82,6.57,9.83,7.89,49.0,29.0,20.0,9.0,17.0,11.0,8.64,7.99,9.8,6.57,9.83,9.65,cross,False,7.0
273,Tymon Kolasiński,5.53,3.37,2.16,1.77,3.0,0.0,100.0,60.9,39.1,32.0,54.2,0.0,41.0,26.0,15.0,12.0,22.0,0.0,7.41,7.72,6.94,6.78,7.33,0.0,42.0,27.0,15.0,12.0,22.0,0.0,7.59,8.01,6.94,6.78,7.33,0.0,cross,True,6.0
274,Aryan Chhabra,4.7,2.97,1.73,1.4,1.4,1.1,100.0,63.2,36.8,29.8,29.8,23.4,47.0,29.0,18.0,10.0,20.0,9.0,10.0,9.76,10.4,7.14,14.29,8.18,49.0,31.0,18.0,10.0,21.0,9.0,10.43,10.44,10.4,7.14,15.0,8.18,cross,False,6.0
275,Riley Dexter,5.53,3.23,2.3,1.43,1.67,1.3,100.0,58.4,41.6,25.9,30.2,23.5,60.0,24.0,36.0,8.0,18.0,22.0,10.85,7.43,15.65,5.59,10.78,16.92,61.0,25.0,36.0,8.0,18.0,22.0,11.03,7.74,15.65,5.59,10.78,16.92,xcross,False,6.0
276,Riley Dexter,5.74,4.0,1.74,1.73,1.17,1.24,100.0,69.7,30.3,30.1,20.4,21.6,49.0,33.0,16.0,10.0,15.0,9.0,8.54,8.25,9.2,5.78,12.82,7.26,51.0,34.0,17.0,11.0,15.0,10.0,8.89,8.5,9.77,6.36,12.82,8.06,xcross,False,6.0
277,Feliks Zemdegs,4.85,3.33,1.52,1.27,2.32,-0.0,100.0,68.7,31.3,26.2,47.8,0.0,43.0,29.0,14.0,10.0,21.0,0.0,8.87,8.71,9.21,7.87,9.05,0.0,46.0,32.0,14.0,10.0,23.0,0.0,9.48,9.61,9.21,7.87,9.91,0.0,cross,False,6.0
278,Brody Lassner,6.39,3.72,2.67,0.83,2.88,1.34,100.0,58.2,41.8,13.0,45.1,21.0,60.0,34.0,26.0,6.0,26.0,13.0,9.39,9.14,9.74,7.23,9.03,9.7,61.0,35.0,26.0,6.0,27.0,13.0,9.55,9.41,9.74,7.23,9.38,9.7,xcross,False,6.0
279,Brody Lassner,6.53,3.53,3.0,1.37,1.68,1.83,100.0,54.1,45.9,21.0,25.7,28.0,59.0,33.0,26.0,11.0,17.0,17.0,9.04,9.35,8.67,8.03,10.12,9.29,61.0,35.0,26.0,12.0,17.0,17.0,9.34,9.92,8.67,8.76,10.12,9.29,cross,False,7.0
280,Brody Lassner,6.38,4.08,2.3,1.98,1.37,1.33,100.0,63.9,36.1,31.0,21.5,20.8,58.0,31.0,27.0,14.0,16.0,15.0,9.09,7.6,11.74,7.07,11.68,11.28,61.0,34.0,27.0,14.0,16.0,15.0,9.56,8.33,11.74,7.07,11.68,11.28,cross,False,7.0
281,Brody Lassner,6.91,4.1,2.81,1.58,1.25,2.06,100.0,59.3,40.7,22.9,18.1,29.8,55.0,28.0,27.0,9.0,16.0,19.0,7.96,6.83,9.61,5.7,12.8,9.22,57.0,30.0,27.0,9.0,16.0,19.0,8.25,7.32,9.61,5.7,12.8,9.22,xcross,False,6.0
282,Brody Lassner,4.71,2.73,1.98,1.37,1.7,1.13,100.0,58.0,42.0,29.1,36.1,24.0,45.0,26.0,19.0,12.0,14.0,13.0,9.55,9.52,9.6,8.76,8.24,11.5,46.0,27.0,19.0,12.0,15.0,13.0,9.77,9.89,9.6,8.76,8.82,11.5,xxcross,False,5.0
283,Brody Lassner,6.66,3.83,2.83,1.0,2.52,1.06,100.0,57.5,42.5,15.0,37.8,15.9,45.0,27.0,18.0,7.0,17.0,8.0,6.76,7.05,6.36,7.0,6.75,7.55,48.0,30.0,18.0,7.0,18.0,8.0,7.21,7.83,6.36,7.0,7.14,7.55,cross,False,7.0
284,Brody Lassner,6.93,4.4,2.53,1.8,1.82,1.18,100.0,63.5,36.5,26.0,26.3,17.0,54.0,36.0,18.0,13.0,16.0,9.0,7.79,8.18,7.11,7.22,8.79,7.63,55.0,37.0,18.0,13.0,16.0,9.0,7.94,8.41,7.11,7.22,8.79,7.63,xcross,False,6.0
285,Brody Lassner,6.23,3.45,2.78,1.45,1.93,1.48,100.0,55.4,44.6,23.3,31.0,23.8,61.0,27.0,34.0,9.0,19.0,19.0,9.79,7.83,12.23,6.21,9.84,12.84,64.0,30.0,34.0,9.0,20.0,19.0,10.27,8.7,12.23,6.21,10.36,12.84,cross,False,7.0
286,Brody Lassner,5.08,4.08,1.0,1.63,1.68,-0.0,100.0,80.3,19.7,32.1,33.1,0.0,45.0,38.0,7.0,14.0,15.0,0.0,8.86,9.31,7.0,8.59,8.93,0.0,46.0,39.0,7.0,14.0,15.0,0.0,9.06,9.56,7.0,8.59,8.93,0.0,cross,False,6.0
287,Brody Lassner,5.75,3.85,1.9,1.58,1.18,1.1,100.0,67.0,33.0,27.5,20.5,19.1,47.0,33.0,14.0,14.0,9.0,8.0,8.17,8.57,7.37,8.86,7.63,7.27,48.0,34.0,14.0,14.0,10.0,8.0,8.35,8.83,7.37,8.86,8.47,7.27,cross,False,7.0
288,Brody Lassner,6.38,3.47,2.91,1.4,2.53,1.08,100.0,54.4,45.6,21.9,39.7,16.9,55.0,32.0,23.0,10.0,19.0,12.0,8.62,9.22,7.9,7.14,7.51,11.11,58.0,35.0,23.0,11.0,19.0,12.0,9.09,10.09,7.9,7.86,7.51,11.11,cross,False,7.0
289,Feliks Zemdegs,6.96,4.17,2.79,1.67,1.27,2.13,100.0,59.9,40.1,24.0,18.2,30.6,59.0,33.0,26.0,13.0,14.0,19.0,8.48,7.91,9.32,7.78,11.02,8.92,59.0,33.0,26.0,13.0,14.0,19.0,8.48,7.91,9.32,7.78,11.02,8.92,cross,True,7.0
290,Feliks Zemdegs,6.09,3.63,2.46,1.67,1.53,1.72,100.0,59.6,40.4,27.4,25.1,28.2,68.0,38.0,30.0,13.0,22.0,20.0,11.17,10.47,12.2,7.78,14.38,11.63,70.0,40.0,30.0,14.0,22.0,20.0,11.49,11.02,12.2,8.38,14.38,11.63,cross,False,7.0
291,Feliks Zemdegs,6.26,3.97,2.29,1.3,3.49,0.0,100.0,63.4,36.6,20.8,55.8,0.0,51.0,34.0,17.0,9.0,29.0,0.0,8.15,8.56,7.42,6.92,8.31,0.0,53.0,36.0,17.0,10.0,29.0,0.0,8.47,9.07,7.42,7.69,8.31,0.0,cross,True,6.0
292,Feliks Zemdegs,5.87,3.57,2.3,1.27,1.77,1.2,100.0,60.8,39.2,21.6,30.2,20.4,58.0,33.0,25.0,11.0,19.0,12.0,9.88,9.24,10.87,8.66,10.73,10.0,61.0,36.0,25.0,11.0,20.0,12.0,10.39,10.08,10.87,8.66,11.3,10.0,cross,False,7.0
293,Feliks Zemdegs,6.27,4.03,2.24,1.47,3.24,-0.0,100.0,64.3,35.7,23.4,51.7,0.0,50.0,33.0,17.0,8.0,24.0,0.0,7.97,8.19,7.59,5.44,7.41,0.0,52.0,35.0,17.0,8.0,25.0,0.0,8.29,8.68,7.59,5.44,7.72,0.0,cross,True,6.0
294,Yusheng Du,3.97,2.3,1.67,0.6,2.6,0.24,100.0,57.9,42.1,15.1,65.5,6.0,34.0,21.0,13.0,6.0,20.0,1.0,8.56,9.13,7.78,10.0,7.69,4.17,35.0,22.0,13.0,6.0,21.0,1.0,8.82,9.57,7.78,10.0,8.08,4.17,xcross,False,6.0
295,Tymon Kolasiński,5.2,3.36,1.84,1.48,2.8,-0.0,100.0,64.6,35.4,28.5,53.8,0.0,49.0,33.0,16.0,11.0,27.0,0.0,9.42,9.82,8.7,7.43,9.64,0.0,49.0,33.0,16.0,11.0,27.0,0.0,9.42,9.82,8.7,7.43,9.64,0.0,cross,True,5.0
296,Tymon Kolasiński,6.57,3.6,2.97,1.08,3.89,0.0,100.0,54.8,45.2,16.4,59.2,0.0,52.0,34.0,18.0,9.0,30.0,0.0,7.91,9.44,6.06,8.33,7.71,0.0,52.0,34.0,18.0,9.0,30.0,0.0,7.91,9.44,6.06,8.33,7.71,0.0,xcross,False,5.0
297,Tymon Kolasiński,5.24,3.28,1.96,1.16,1.44,1.12,100.0,62.6,37.4,22.1,27.5,21.4,49.0,29.0,20.0,7.0,19.0,9.0,9.35,8.84,10.2,6.03,13.19,8.04,51.0,30.0,21.0,7.0,19.0,10.0,9.73,9.15,10.71,6.03,13.19,8.93,cross,False,7.0
298,Tymon Kolasiński,4.83,2.84,1.99,1.12,2.71,0.0,100.0,58.8,41.2,23.2,56.1,0.0,49.0,27.0,22.0,9.0,30.0,0.0,10.14,9.51,11.06,8.04,11.07,0.0,51.0,29.0,22.0,9.0,30.0,0.0,10.56,10.21,11.06,8.04,11.07,0.0,cross,False,6.0
299,Tymon Kolasiński,4.73,2.88,1.85,1.68,1.0,1.33,100.0,60.9,39.1,35.5,21.1,28.1,50.0,27.0,23.0,15.0,11.0,16.0,10.57,9.38,12.43,8.93,11.0,12.03,51.0,28.0,23.0,15.0,12.0,16.0,10.78,9.72,12.43,8.93,12.0,12.03,xxcross,False,5.0
300,Kunal Oak,5.47,3.7,1.77,1.8,2.07,0.24,100.0,67.6,32.4,32.9,37.8,4.4,46.0,32.0,14.0,14.0,21.0,1.0,8.41,8.65,7.91,7.78,10.14,4.17,48.0,34.0,14.0,14.0,21.0,1.0,8.78,9.19,7.91,7.78,10.14,4.17,cross,False,7.0
301,Kunal Oak,4.37,3.33,1.04,1.6,1.6,0.0,100.0,76.2,23.8,36.6,36.6,0.0,43.0,35.0,8.0,14.0,16.0,0.0,9.84,10.51,7.69,8.75,10.0,0.0,43.0,35.0,8.0,14.0,16.0,0.0,9.84,10.51,7.69,8.75,10.0,0.0,cross,False,6.0
302,Kunal Oak,5.18,3.03,2.15,1.87,0.87,1.58,100.0,58.5,41.5,36.1,16.8,30.5,50.0,27.0,23.0,13.0,12.0,15.0,9.65,8.91,10.7,6.95,13.79,9.49,53.0,30.0,23.0,14.0,12.0,15.0,10.23,9.9,10.7,7.49,13.79,9.49,cross,False,7.0
303,Luke Garrett,4.99,3.23,1.76,1.1,0.8,1.76,100.0,64.7,35.3,22.0,16.0,35.3,52.0,33.0,19.0,7.0,12.0,19.0,10.42,10.22,10.8,6.36,15.0,10.8,54.0,35.0,19.0,9.0,12.0,19.0,10.82,10.84,10.8,8.18,15.0,10.8,cross,False,6.0
304,Luke Garrett,3.17,2.87,0.3,1.77,0.4,0.3,100.0,90.5,9.5,55.8,12.6,9.5,27.0,26.0,1.0,11.0,9.0,0.0,8.52,9.06,3.33,6.21,22.5,0.0,27.0,26.0,1.0,11.0,9.0,0.0,8.52,9.06,3.33,6.21,22.5,0.0,cross,False,6.0
305,Luke Garrett,4.46,2.8,1.66,1.3,1.55,0.84,100.0,62.8,37.2,29.1,34.8,18.8,54.0,28.0,26.0,12.0,18.0,16.0,12.11,10.0,15.66,9.23,11.61,19.05,57.0,31.0,26.0,13.0,19.0,16.0,12.78,11.07,15.66,10.0,12.26,19.05,cross,False,6.0
306,Luke Garrett,4.99,3.27,1.72,1.3,1.13,1.19,100.0,65.5,34.5,26.1,22.6,23.8,57.0,35.0,22.0,13.0,14.0,15.0,11.42,10.7,12.79,10.0,12.39,12.61,58.0,36.0,22.0,13.0,15.0,15.0,11.62,11.01,12.79,10.0,13.27,12.61,cross,False,7.0
307,Luke Garrett,5.03,2.77,2.26,1.1,1.37,1.4,100.0,55.1,44.9,21.9,27.2,27.8,65.0,37.0,28.0,12.0,17.0,19.0,12.92,13.36,12.39,10.91,12.41,13.57,67.0,39.0,28.0,13.0,18.0,19.0,13.32,14.08,12.39,11.82,13.14,13.57,cross,False,7.0
308,Luke Garrett,5.9,3.12,2.78,0.78,2.28,1.33,100.0,52.9,47.1,13.2,38.6,22.5,62.0,34.0,28.0,6.0,20.0,18.0,10.51,10.9,10.07,7.69,8.77,13.53,65.0,37.0,28.0,6.0,21.0,18.0,11.02,11.86,10.07,7.69,9.21,13.53,xcross,False,6.0
309,Luke Garrett,4.79,2.72,2.07,1.15,1.25,0.94,100.0,56.8,43.2,24.0,26.1,19.6,44.0,23.0,21.0,11.0,16.0,7.0,9.19,8.46,10.14,9.57,12.8,7.45,46.0,25.0,21.0,11.0,16.0,7.0,9.6,9.19,10.14,9.57,12.8,7.45,xcross,False,6.0
310,Max Park,5.02,2.87,2.15,1.17,1.17,1.45,100.0,57.2,42.8,23.3,23.3,28.9,61.0,33.0,28.0,10.0,17.0,18.0,12.15,11.5,13.02,8.55,14.53,12.41,62.0,34.0,28.0,10.0,17.0,18.0,12.35,11.85,13.02,8.55,14.53,12.41,xcross,False,6.0
311,Max Park,4.79,2.77,2.02,1.07,1.5,1.26,100.0,57.8,42.2,22.3,31.3,26.3,58.0,30.0,28.0,10.0,18.0,18.0,12.11,10.83,13.86,9.35,12.0,14.29,59.0,31.0,28.0,10.0,18.0,18.0,12.32,11.19,13.86,9.35,12.0,14.29,cross,False,7.0
312,Max Park,5.96,4.07,1.89,1.47,1.27,1.19,100.0,68.3,31.7,24.7,21.3,20.0,63.0,40.0,23.0,10.0,16.0,14.0,10.57,9.83,12.17,6.8,12.6,11.76,66.0,42.0,24.0,10.0,17.0,15.0,11.07,10.32,12.7,6.8,13.39,12.61,xcross,False,6.0
313,Max Park,6.14,3.1,3.04,1.0,1.27,2.07,100.0,50.5,49.5,16.3,20.7,33.7,56.0,27.0,29.0,10.0,14.0,19.0,9.12,8.71,9.54,10.0,11.02,9.18,60.0,30.0,30.0,10.0,15.0,19.0,9.77,9.68,9.87,10.0,11.81,9.18,xcross,False,6.0
314,Max Park,5.73,3.1,2.63,1.3,2.27,1.36,100.0,54.1,45.9,22.7,39.6,23.7,63.0,30.0,33.0,11.0,23.0,17.0,10.99,9.68,12.55,8.46,10.13,12.5,66.0,33.0,33.0,12.0,25.0,17.0,11.52,10.65,12.55,9.23,11.01,12.5,xcross,False,6.0
315,Tymon Kolasiński,4.63,2.37,2.26,1.03,1.33,1.63,100.0,51.2,48.8,22.2,28.7,35.2,42.0,24.0,18.0,9.0,16.0,10.0,9.07,10.13,7.96,8.74,12.03,6.13,45.0,25.0,20.0,9.0,16.0,12.0,9.72,10.55,8.85,8.74,12.03,7.36,cross,False,7.0
316,Tymon Kolasiński,5.86,3.17,2.69,1.03,2.23,1.33,100.0,54.1,45.9,17.6,38.1,22.7,51.0,28.0,23.0,7.0,20.0,10.0,8.7,8.83,8.55,6.8,8.97,7.52,54.0,30.0,24.0,7.0,20.0,11.0,9.22,9.46,8.92,6.8,8.97,8.27,xcross,False,6.0
317,Tymon Kolasiński,4.74,2.73,2.01,1.5,1.4,1.11,100.0,57.6,42.4,31.6,29.5,23.4,54.0,28.0,26.0,14.0,17.0,15.0,11.39,10.26,12.94,9.33,12.14,13.51,55.0,29.0,26.0,14.0,17.0,15.0,11.6,10.62,12.94,9.33,12.14,13.51,xxcross,True,5.0
318,Tymon Kolasiński,6.25,4.23,2.02,1.77,2.95,0.0,100.0,67.7,32.3,28.3,47.2,0.0,54.0,37.0,17.0,11.0,26.0,0.0,8.64,8.75,8.42,6.21,8.81,0.0,57.0,40.0,17.0,11.0,27.0,0.0,9.12,9.46,8.42,6.21,9.15,0.0,cross,True,6.0
319,Luke Garrett,6.38,3.97,2.41,1.9,1.53,1.58,100.0,62.2,37.8,29.8,24.0,24.8,56.0,33.0,23.0,14.0,15.0,13.0,8.78,8.31,9.54,7.37,9.8,8.23,58.0,35.0,23.0,14.0,16.0,13.0,9.09,8.82,9.54,7.37,10.46,8.23,cross,False,7.0
320,Luke Garrett,6.67,3.7,2.97,1.23,0.83,2.14,100.0,55.5,44.5,18.4,12.4,32.1,55.0,30.0,25.0,9.0,11.0,14.0,8.25,8.11,8.42,7.32,13.25,6.54,57.0,32.0,25.0,9.0,11.0,14.0,8.55,8.65,8.42,7.32,13.25,6.54,xcross,False,5.0
