,name,total_time,f2l_time,ll_time,cross+1_time,ols_time,pll_time,total_time_percent,f2l_time_percent,ll_time_percent,cross+1_percent,ols_percent,pll_percent,total_stm,f2l_stm,ll_stm,cross+1_stm,ols_stm,pll_stm,total_stps,f2l_stps,ll_stps,cross+1_stps,ols_stps,pll_stps,total_etm,f2l_etm,ll_etm,cross+1_etm,ols_etm,pll_etm,total_etps,f2l_etps,ll_etps,cross+1_etps,ols_etps,pll_etps,cross_type,zbll,num_steps
70,Asher Kim-Magierek,4.64,2.77,1.87,1.4,1.2,1.24,100.0,59.7,40.3,30.2,25.9,26.7,58.0,30.0,28.0,14.0,18.0,18.0,12.5,10.83,14.97,10.0,15.0,14.52,61.0,33.0,28.0,14.0,19.0,18.0,13.15,11.91,14.97,10.0,15.83,14.52,cross,False,7.0
71,Asher Kim-Magierek,6.25,3.87,2.38,1.17,1.7,1.18,100.0,61.9,38.1,18.7,27.2,18.9,69.0,40.0,29.0,13.0,22.0,14.0,11.04,10.34,12.18,11.11,12.94,11.86,72.0,43.0,29.0,13.0,22.0,14.0,11.52,11.11,12.18,11.11,12.94,11.86,cross,False,7.0
72,Asher Kim-Magierek,4.72,3.0,1.72,1.2,1.33,1.15,100.0,63.6,36.4,25.4,28.2,24.4,57.0,30.0,27.0,9.0,16.0,18.0,12.08,10.0,15.7,7.5,12.03,15.65,59.0,32.0,27.0,9.0,18.0,18.0,12.5,10.67,15.7,7.5,13.53,15.65,cross,False,7.0
73,Riley Dexter,6.84,4.5,2.34,1.73,2.17,1.47,100.0,65.8,34.2,25.3,31.7,21.5,54.0,34.0,20.0,11.0,20.0,11.0,7.89,7.56,8.55,6.36,9.22,7.48,58.0,38.0,20.0,12.0,21.0,11.0,8.48,8.44,8.55,6.94,9.68,7.48,cross,False,7.0
74,Riley Dexter,6.05,3.5,2.55,1.6,1.87,1.22,100.0,57.9,42.1,26.4,30.9,20.2,59.0,35.0,24.0,12.0,18.0,14.0,9.75,10.0,9.41,7.5,9.63,11.48,61.0,37.0,24.0,12.0,18.0,14.0,10.08,10.57,9.41,7.5,9.63,11.48,cross,False,7.0
75,Riley Dexter,5.45,3.9,1.55,1.2,2.37,0.15,100.0,71.6,28.4,22.0,43.5,2.8,50.0,38.0,12.0,13.0,22.0,1.0,9.17,9.74,7.74,10.83,9.28,6.67,50.0,38.0,12.0,13.0,22.0,1.0,9.17,9.74,7.74,10.83,9.28,6.67,cross,False,7.0
76,Riley Dexter,6.55,4.37,2.18,1.47,1.73,1.45,100.0,66.7,33.3,22.4,26.4,22.1,53.0,33.0,20.0,11.0,15.0,12.0,8.09,7.55,9.17,7.48,8.67,8.28,56.0,36.0,20.0,11.0,16.0,12.0,8.55,8.24,9.17,7.48,9.25,8.28,xcross,False,6.0
77,Asher Kim-Magierek,6.59,4.27,2.32,1.6,1.87,1.09,100.0,64.8,35.2,24.3,28.4,16.5,77.0,47.0,30.0,15.0,23.0,15.0,11.68,11.01,12.93,9.38,12.3,13.76,79.0,49.0,30.0,15.0,24.0,15.0,11.99,11.48,12.93,9.38,12.83,13.76,cross,False,7.0
78,Asher Kim-Magierek,5.57,2.9,2.67,1.57,2.03,0.97,100.0,52.1,47.9,28.2,36.4,17.4,60.0,30.0,30.0,14.0,19.0,15.0,10.77,10.34,11.24,8.92,9.36,15.46,64.0,34.0,30.0,15.0,20.0,15.0,11.49,11.72,11.24,9.55,9.85,15.46,cross,False,7.0
79,Asher Kim-Magierek,5.77,4.1,1.67,1.97,0.93,1.17,100.0,71.1,28.9,34.1,16.1,20.3,58.0,40.0,18.0,18.0,13.0,11.0,10.05,9.76,10.78,9.14,13.98,9.4,63.0,43.0,20.0,18.0,13.0,13.0,10.92,10.49,11.98,9.14,13.98,11.11,cross,False,7.0
80,Asher Kim-Magierek,5.8,3.7,2.1,1.17,1.97,0.93,100.0,63.8,36.2,20.2,34.0,16.0,56.0,37.0,19.0,11.0,19.0,9.0,9.66,10.0,9.05,9.4,9.64,9.68,57.0,38.0,19.0,11.0,20.0,9.0,9.83,10.27,9.05,9.4,10.15,9.68,cross,False,7.0
81,Yiheng Wang,4.97,2.73,2.24,1.2,1.23,1.4,100.0,54.9,45.1,24.1,24.7,28.2,60.0,35.0,25.0,12.0,16.0,16.0,12.07,12.82,11.16,10.0,13.01,11.43,61.0,36.0,25.0,12.0,16.0,16.0,12.27,13.19,11.16,10.0,13.01,11.43,cross,False,7.0
